#纬度,经度,学校,省份,层次,全国热度排名,类别,类别排名,网址,学校抓取编码
37.44851951,118.5150444,山东胜利职业学院,山东,高职高专,2096,理工类,671,http://gkcx.eol.cn/schoolhtm/schoolTemple/school2116.htm,2116
36.68902486,119.1025997,山东经贸职业学院,山东,高职高专,1967,财经类,197,http://gkcx.eol.cn/schoolhtm/schoolTemple/school2117.htm,2117
36.89022791,118.0876238,山东工业职业学院,山东,高职高专,1945,理工类,615,http://gkcx.eol.cn/schoolhtm/schoolTemple/school2118.htm,2118
36.77414588,118.1908159,山东化工职业学院,山东,高职高专,2390,综合类,610,http://gkcx.eol.cn/schoolhtm/schoolTemple/school2119.htm,2119
35.93214336,120.1172474,青岛黄海学院,山东,普通本科,1083,综合类,287,http://gkcx.eol.cn/schoolhtm/schoolTemple/school2155.htm,2155
36.1052149,120.3844282,青岛求实职业技术学院,山东,高职高专,2132,综合类,538,http://gkcx.eol.cn/schoolhtm/schoolTemple/school2149.htm,2149
36.64278941,117.267904,济南职业学院,山东,高职高专,1433,综合类,370,http://gkcx.eol.cn/schoolhtm/schoolTemple/school2120.htm,2120
36.71631904,117.0567968,山东协和学院,山东,普通本科,1325,医药类,116,http://gkcx.eol.cn/schoolhtm/schoolTemple/school2837.htm,2837
38.50553393,106.1266117,宁夏大学新华学院,宁夏,独立学院,1428,综合类,368,http://gkcx.eol.cn/schoolhtm/schoolTemple/school2576.htm,2576
25.2368746,103.009226,云南大学滇池学院,云南,独立学院,742,综合类,189,http://gkcx.eol.cn/schoolhtm/schoolTemple/school2523.htm,2523
26.92177666,100.236408,云南大学旅游文化学院,云南,独立学院,1239,综合类,326,http://gkcx.eol.cn/schoolhtm/schoolTemple/school2524.htm,2524
25.07857534,102.6605745,昆明理工大学津桥学院,云南,独立学院,1175,理工类,355,http://gkcx.eol.cn/schoolhtm/schoolTemple/school2526.htm,2526
25.08844059,102.6569987,云南师范大学商学院,云南,独立学院,688,综合类,178,http://gkcx.eol.cn/schoolhtm/schoolTemple/school1280.htm,1280
25.09644201,102.7219267,云南师范大学文理学院,云南,独立学院,955,师范类,121,http://gkcx.eol.cn/schoolhtm/schoolTemple/school2181.htm,2181
25.06208096,102.6842566,云南艺术学院文华学院,云南,独立学院,1824,艺术类,50,http://gkcx.eol.cn/schoolhtm/schoolTemple/school2525.htm,2525
31.8483327,117.2669298,安徽电气工程职业技术学院,安徽,高职高专,2176,理工类,698,http://gkcx.eol.cn/schoolhtm/schoolTemple/school1828.htm,1828
31.66614853,118.5023962,安徽冶金科技职业学院,安徽,高职高专,2493,理工类,815,http://gkcx.eol.cn/schoolhtm/schoolTemple/school1829.htm,1829
31.93450654,117.3989502,安徽城市管理职业学院,安徽,高职高专,1625,财经类,489,http://gkcx.eol.cn/schoolhtm/schoolTemple/school1830.htm,1830
31.33473686,118.3689404,安徽机电职业技术学院,安徽,高职高专,1526,理工类,467,http://gkcx.eol.cn/schoolhtm/schoolTemple/school1831.htm,1831
31.90347318,117.2851731,安徽工商职业学院,安徽,高职高专,1842,财经类,182,http://gkcx.eol.cn/schoolhtm/schoolTemple/school1832.htm,1832
31.88361999,117.2584475,安徽中澳科技职业学院,安徽,高职高专,2245,理工类,896,http://gkcx.eol.cn/schoolhtm/schoolTemple/school1833.htm,1833
